📺央视频道,#genre#
CCTV1,http://www.266999.xyz:55555/rtp/239.49.8.19:9614$江苏电信
CCTV2,http://www.266999.xyz:55555/rtp/239.49.8.50:9802$江苏电信
CCTV3,http://www.266999.xyz:55555/rtp/239.49.8.74:8000$江苏电信
CCTV4,http://www.266999.xyz:55555/rtp/239.49.8.51:9806$江苏电信
CCTV5,http://www.266999.xyz:55555/rtp/239.49.8.75:8000$江苏电信
CCTV6,http://www.266999.xyz:55555/rtp/239.49.8.76:8000$江苏电信
CCTV7,http://www.266999.xyz:55555/rtp/239.49.0.126:8000$江苏电信
CCTV8,http://www.266999.xyz:55555/rtp/239.49.8.77:8000$江苏电信
CCTV9,http://www.266999.xyz:55555/rtp/239.49.8.53:9814$江苏电信
CCTV10,http://www.266999.xyz:55555/rtp/239.49.8.54:9818$江苏电信
CCTV11,http://www.266999.xyz:55555/rtp/239.49.0.127:8000$江苏电信
CCTV12,http://www.266999.xyz:55555/rtp/239.49.8.55:9822$江苏电信
CCTV13,http://www.266999.xyz:55555/rtp/239.49.8.109:8000$江苏电信
CCTV14,http://www.266999.xyz:55555/rtp/239.49.8.56:9826$江苏电信
CCTV15,http://www.266999.xyz:55555/rtp/239.49.0.128:8000$江苏电信
CCTV16,http://www.266999.xyz:55555/rtp/239.49.8.31:8000$江苏电信
CCTV17,http://www.266999.xyz:55555/rtp/239.49.8.52:9810$江苏电信
CCTV4K,http://www.266999.xyz:55555/rtp/239.49.0.82:8000$江苏电信
CCTV16,http://www.266999.xyz:55555/rtp/239.49.0.109:8000$4K
CCTV5+,http://www.266999.xyz:55555/rtp/239.49.8.18:9610$江苏电信
第一剧场,http://www.266999.xyz:55555/rtp/239.49.0.44:8000$江苏电信
风云剧场,http://www.266999.xyz:55555/rtp/239.49.0.152:9210$江苏电信
怀旧剧场,http://www.266999.xyz:55555/rtp/239.49.0.157:9250$江苏电信
电视指南,http://www.266999.xyz:55555/rtp/239.49.0.161:9282$江苏电信
世界地理,http://www.266999.xyz:55555/rtp/239.49.0.155:9234$江苏电信
兵器科技,http://www.266999.xyz:55555/rtp/239.49.0.160:9274$江苏电信
风云音乐,http://www.266999.xyz:55555/rtp/239.49.0.151:9202$江苏电信

👤📡卫视频道,#genre#
江苏卫视,http://www.266999.xyz:55555/rtp/239.49.8.16:9602$江苏电信
东方卫视,http://www.266999.xyz:55555/rtp/239.49.8.17:9606$江苏电信
浙江卫视,http://www.266999.xyz:55555/rtp/239.49.8.20:9618$江苏电信
北京卫视,http://www.266999.xyz:55555/rtp/239.49.8.11:9414$江苏电信
辽宁卫视,http://www.266999.xyz:55555/rtp/239.49.8.48:8000$江苏电信
天津卫视,http://www.266999.xyz:55555/rtp/239.49.8.35:8620$江苏电信
安徽卫视,http://www.266999.xyz:55555/rtp/239.49.8.80:8000$江苏电信
湖南卫视,http://www.266999.xyz:55555/rtp/239.49.8.12:9418$江苏电信
广西卫视,http://www.266999.xyz:55555/rtp/239.49.8.10:8000$江苏电信
广东卫视,http://www.266999.xyz:55555/rtp/239.49.8.13:9422$江苏电信
山东卫视,http://www.266999.xyz:55555/rtp/239.49.8.7:9306$江苏电信
重庆卫视,http://www.266999.xyz:55555/rtp/239.49.8.57:9830$江苏电信
海南卫视,http://www.266999.xyz:55555/rtp/239.49.8.83:8000$江苏电信
四川卫视,http://www.266999.xyz:55555/rtp/239.49.8.110:8000$江苏电信
江西卫视,http://www.266999.xyz:55555/rtp/239.49.8.111:8000$江苏电信
东南卫视,http://www.266999.xyz:55555/rtp/239.49.8.112:8000$江苏电信
吉林卫视,http://www.266999.xyz:55555/rtp/239.49.8.113:8000$江苏电信
河北卫视,http://www.266999.xyz:55555/rtp/239.49.8.114:8000$江苏电信
黑龙江卫视,http://www.266999.xyz:55555/rtp/239.49.8.14:9426$江苏电信
深圳卫视,http://www.266999.xyz:55555/rtp/239.49.8.15:9430$江苏电信
云南卫视,http://www.266999.xyz:55555/rtp/239.49.0.177:8000$江苏电信
贵州卫视,http://www.266999.xyz:55555/rtp/239.49.8.49:8000$江苏电信
湖北卫视,http://www.266999.xyz:55555/rtp/239.49.8.8:9632$江苏电信
河南卫视,http://www.266999.xyz:55555/rtp/239.49.8.29:8000$江苏电信
三沙卫视,http://www.266999.xyz:55555/rtp/239.49.0.167:8000$江苏电信
甘肃卫视,http://www.266999.xyz:55555/rtp/239.49.0.250:8000$江苏电信
青海卫视,http://www.266999.xyz:55555/rtp/239.49.0.81:8000$江苏电信
湖北卫视,http://www.266999.xyz:55555/rtp/239.49.0.64:8504$江苏电信
山西卫视,http://www.266999.xyz:55555/rtp/239.49.0.67:8528$江苏电信
宁夏卫视,http://www.266999.xyz:55555/rtp/239.49.0.171:8000$江苏电信
新疆卫视,http://www.266999.xyz:55555/rtp/239.49.0.178:8000$江苏电信
内蒙古卫视,http://www.266999.xyz:55555/rtp/239.49.0.180:8000$江苏电信
西藏卫视,http://www.266999.xyz:55555/rtp/239.49.0.245:8000$江苏电信
山东教育卫视,http://www.266999.xyz:55555/rtp/239.49.0.235:8000$江苏电信
陕西卫视,http://www.266999.xyz:55555/rtp/239.49.0.233:8000$江苏电信
