九洲饭店,#genre#
饭店简介,https://chuxinya.top/f/79gxuZ/%E9%A5%AD%E5%BA%97.mp4#http://tkgqkk5t0.hn-bkt.clouddn.com/%E9%A5%AD%E5%BA%97.mp4#https://d.kstore.dev/download/10141/%E9%A5%AD%E5%BA%97.mp4

香港频道,#genre#
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,https://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8?hls_ctx=n2421g39
香港卫视,https://hkstv.tv/webcast/livestream/mutfysrq/playlist.m3u8?hls_ctx=0038i366
香港卫视,https://hkstv.tv/api/m3u8-proxy?url=http%3A%2F%2Fwebcast.hkstv.tv%2Flivestream%2Fmutfysrq%2Fplaylist.m3u8
香港卫视,video://https://hkstv.tv/live

凤凰中文,http://jellyfin.eversouthhangzhou.com.cn:8188/rtp/233.50.202.35:5140
凤凰中文,http://yulang132.cn:4022/rtp/239.94.2.51:5140
凤凰中文,http://yulang132.cn:4022/rtp/239.94.2.52:5140
凤凰中文,http://xiangz.qzz.io:8031/php/fhx.php?id=fhzw
凤凰中文,http://iptv.cqshushu.com/gddf.php?id=fhzw&token=c52da4594060ea86da27a4725d8cc38f
凤凰中文,http://156.238.224.170:7001/fhx.php?id=cn
凤凰中文,http://122.224.58.42:85/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0$浙江/电信酒店
凤凰中文,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8?key=txiptv$广西
凤凰中文,http://www.chunktv.top:10000/rtp/239.111.205.78:5140$陕西电信
凤凰中文,http://www.liangcl.top:8686/udp/233.50.202.35:5140$浙江电信
凤凰中文,http://guany.myds.me:25852/rtp/233.50.202.35:5140$浙江电信
凤凰中文,http://218.206.193.218:8888/hls/67/index.m3u8
凤凰中文,http://106.112.254.38:8989/rtp/239.254.201.2:5226$河北电信
凤凰中文,http://960207.xyz:8188/rtp/239.254.201.2:5226$河北电信
凤凰中文,http://www.893224162.xyz:8188/udp/239.94.2.52:5140
凤凰中文,http://hzzzz530.com:4022/rtp/239.69.2.20:11274$湖北电信
凤凰中文,http://www.xk8.top:8001/rtp/239.69.2.20:11274$湖北电信
凤凰中文,http://58.55.243.219:4022/rtp/239.69.2.20:11274$湖北电信
凤凰中文,http://xk8.top:8001/rtp/239.69.2.20:11274$湖北电信
凤凰中文,http://www.3872327.top:1225/rtp/239.69.2.20:11274$湖北电信
凤凰中文,http://www.ct123.online:8188/rtp/239.69.2.20:11274$湖北电信
凤凰中文,http://kexu.mycloudnas.com:8001/rtp/239.69.2.20:11274$湖北电信
凤凰中文,http://alist.xicp.fun:52057/rtp/239.69.2.20:11274$湖北电信
凤凰中文,http://zjhuct.icu:8889/udp/233.50.200.191:5140$浙江电信
凤凰中文,http://bgs.cchui.fun:7912/rtp/233.50.202.35:5140$浙江联通
凤凰中文,http://gslt.cchui.fun:7911/rtp/233.50.202.35:5140$浙江联通
凤凰中文,http://jellyfin.eversouthhangzhou.com.cn:8188/rtp/233.50.202.35:5140$浙江联通
凤凰中文,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.202.35:5140$浙江联通
凤凰中文,http://woc.iiiya.cn:18888/rtp/239.61.2.184:9092$福建电信
